"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","23/04/2020","700","1000","800"
"Gujarat","Dahod","Dahod(Veg. Market)","Bhindi(Ladies Finger)","Bhindi","23/04/2020","1000","2000","1800"
"Gujarat","Dahod","Dahod(Veg. Market)","Bitter gourd","Bitter Gourd","23/04/2020","1000","2200","1600"
"Gujarat","Dahod","Dahod(Veg. Market)","Bottle gourd","Bottle Gourd","23/04/2020","500","1300","1000"
"Gujarat","Dahod","Dahod(Veg. Market)","Brinjal","Brinjal","23/04/2020","500","1200","700"
"Gujarat","Dahod","Dahod(Veg. Market)","Cabbage","Cabbage","23/04/2020","300","800","500"
"Gujarat","Dahod","Dahod(Veg. Market)","Cauliflower","Cauliflower","23/04/2020","600","1800","1300"
"Gujarat","Dahod","Dahod(Veg. Market)","Coriander(Leaves)","Coriander","23/04/2020","1000","2000","1500"
"Gujarat","Dahod","Dahod(Veg. Market)","Cucumbar(Kheera)","Cucumbar","23/04/2020","800","1500","1100"
"Gujarat","Dahod","Dahod(Veg. Market)","Drumstick","Other","23/04/2020","1800","2500","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Garlic","Other","23/04/2020","5000","8000","7000"
"Gujarat","Dahod","Dahod(Veg. Market)","Ginger(Green)","Green Ginger","23/04/2020","5000","6000","5500"
"Gujarat","Dahod","Dahod(Veg. Market)","Green Chilli","Green Chilly","23/04/2020","1000","1600","1300"
"Gujarat","Dahod","Dahod(Veg. Market)","Lemon","Other","23/04/2020","3000","6000","5000"
"Gujarat","Dahod","Dahod(Veg. Market)","Little gourd (Kundru)","Other","23/04/2020","1200","2500","1800"
"Gujarat","Dahod","Dahod(Veg. Market)","Mint(Pudina)","Mint(Pudina)","23/04/2020","1000","3000","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Onion","Onion","23/04/2020","800","1200","1000"
"Gujarat","Dahod","Dahod(Veg. Market)","Onion Green","Onion Green","23/04/2020","1000","1500","1200"
"Gujarat","Dahod","Dahod(Veg. Market)","Potato","Potato","23/04/2020","1500","1900","1700"
"Gujarat","Dahod","Dahod(Veg. Market)","Tomato","Tomato","23/04/2020","300","800","500"
"Gujarat","Narmada","Rajpipla","Banana","Other","23/04/2020","400","800","600"
"Haryana","Kurukshetra","Pehowa","Banana","Other","23/04/2020","2300","2300","2300"
"Haryana","Kurukshetra","Pehowa","Cabbage","Other","23/04/2020","600","600","600"
"Haryana","Kurukshetra","Pehowa","Papaya","Other","23/04/2020","1600","1600","1600"
"Haryana","Kurukshetra","Pehowa","Potato","Other","23/04/2020","600","1200","1200"
"Haryana","Kurukshetra","Pehowa","Tomato","Other","23/04/2020","1600","1600","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Apple","Other","23/04/2020","9000","12000","11000"
"Himachal Pradesh","Bilaspur","Bilaspur","Banana","Other","23/04/2020","2300","2800","2400"
"Himachal Pradesh","Bilaspur","Bilaspur","Bottle gourd","Other","23/04/2020","1300","1500","1400"
"Himachal Pradesh","Bilaspur","Bilaspur","Capsicum","Other","23/04/2020","1500","1800","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Cauliflower","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Bilaspur","Bilaspur","Cucumbar(Kheera)","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Bilaspur","Bilaspur","Grapes","Other","23/04/2020","4000","7000","5000"
"Himachal Pradesh","Bilaspur","Bilaspur","Green Chilli","Other","23/04/2020","3000","3500","3200"
"Himachal Pradesh","Bilaspur","Bilaspur","Kinnow","Other","23/04/2020","3200","3500","3400"
"Himachal Pradesh","Bilaspur","Bilaspur","Onion","Other","23/04/2020","1500","1600","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Orange","Other","23/04/2020","4500","5000","5000"
"Himachal Pradesh","Bilaspur","Bilaspur","Papaya","Other","23/04/2020","3500","4000","4000"
"Himachal Pradesh","Bilaspur","Bilaspur","Peas cod","Other","23/04/2020","2500","3100","3000"
"Himachal Pradesh","Bilaspur","Bilaspur","Potato","Other","23/04/2020","1600","1700","1700"
"Himachal Pradesh","Bilaspur","Bilaspur","Tomato","Other","23/04/2020","2000","2400","2100"
"Himachal Pradesh","Kangra","Kangra","Apple","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Banana","Other","23/04/2020","3000","4000","3500"
"Himachal Pradesh","Kangra","Kangra","Bhindi(Ladies Finger)","Other","23/04/2020","4200","4500","4350"
"Himachal Pradesh","Kangra","Kangra","Bottle gourd","Other","23/04/2020","1200","1500","1350"
"Himachal Pradesh","Kangra","Kangra","Cabbage","Other","23/04/2020","600","700","650"
"Himachal Pradesh","Kangra","Kangra","Capsicum","Other","23/04/2020","1700","1800","1750"
"Himachal Pradesh","Kangra","Kangra","Cauliflower","Other","23/04/2020","1200","1500","1350"
"Himachal Pradesh","Kangra","Kangra","Cucumbar(Kheera)","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Kangra","Kangra","Ginger(Green)","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Green Chilli","Other","23/04/2020","3500","4000","3750"
"Himachal Pradesh","Kangra","Kangra","Kinnow","Other","23/04/2020","3000","3500","3250"
"Himachal Pradesh","Kangra","Kangra","Lemon","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Onion","Other","23/04/2020","1700","1800","1750"
"Himachal Pradesh","Kangra","Kangra","Papaya","Other","23/04/2020","3500","3600","3550"
"Himachal Pradesh","Kangra","Kangra","Pineapple","Other","23/04/2020","4000","4200","4100"
"Himachal Pradesh","Kangra","Kangra","Pomegranate","Other","23/04/2020","6000","7000","6500"
"Himachal Pradesh","Kangra","Kangra","Potato","Other","23/04/2020","1500","1600","1550"
"Himachal Pradesh","Kangra","Kangra","Tomato","Other","23/04/2020","1800","1900","1850"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Capsicum","Capsicum","23/04/2020","1600","2000","1800"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Pumpkin","Other","23/04/2020","1000","1600","1200"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Raddish","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Spinach","Other","23/04/2020","2000","2000","2000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Apple","Other","23/04/2020","6000","10000","8000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Banana","Other","23/04/2020","2800","3200","3000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bhindi(Ladies Finger)","Other","23/04/2020","4500","5500","5000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bitter gourd","Other","23/04/2020","5000","5500","5250"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bottle gourd","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Brinjal","Other","23/04/2020","1500","2000","1750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cabbage","Other","23/04/2020","800","1200","1000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Capsicum","Other","23/04/2020","1500","1700","1600"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cauliflower","Other","23/04/2020","800","1200","1000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Coriander(Leaves)","Other","23/04/2020","3000","4000","3500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cucumbar(Kheera)","Other","23/04/2020","500","1200","850"
"Himachal Pradesh","Kangra","Kangra(Jassour)","French Beans (Frasbean)","Other","23/04/2020","2500","3000","2750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Garlic","Other","23/04/2020","9500","10000","9750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Ginger(Green)","Other","23/04/2020","9500","10000","9750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Grapes","Other","23/04/2020","4500","6500","5500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Green Chilli","Other","23/04/2020","2500","3500","3000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Kinnow","Other","23/04/2020","1500","2500","2000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Lemon","Other","23/04/2020","7000","8000","7500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mango","Other","23/04/2020","8000","10000","9000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mashrooms","Other","23/04/2020","8000","10000","9000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mousambi(Sweet Lime)","Other","23/04/2020","5000","6000","5500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Onion","Other","23/04/2020","1500","1800","1650"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Orange","Other","23/04/2020","5500","6500","6000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Papaya","Other","23/04/2020","3500","4000","3750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Peas cod","Other","23/04/2020","2500","3000","2750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pineapple","Other","23/04/2020","2800","3000","2900"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pomegranate","Other","23/04/2020","7500","10000","8500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Potato","Other","23/04/2020","1600","1800","1700"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pumpkin","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Raddish","Other","23/04/2020","1000","1500","1250"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Spinach","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Tomato","Other","23/04/2020","1800","2400","2100"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Water Melon","Other","23/04/2020","1400","1800","1600"
"Karnataka","Bangalore","Doddaballa Pur","Banana - Green","Banana - Green","23/04/2020","2000","3000","2400"
